	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CAM5-GCM	0.32334986329078674	0.23129117488861084	0.1709478497505188	219.60984802246094	221.1432342529297	222.6385955810547	9.8034086227417	11.228930473327637	12.674976348876953	0.7098039215686275	0.8117647058823529	0.4196078431372549	1.0
1	CAM6-GCM	0.3369196951389313	0.24373425543308258	0.8218713998794556	217.3567657470703	216.59828186035156	205.597412109375	9.734561920166016	11.078783988952637	18.682247161865234	0.807843137254902	0.8588235294117647	0.611764705882353	1.0
2	CNRM-CM6	0.15619373321533203	0.13401393592357635	0.13072822988033295	200.72674560546875	201.5649871826172	210.05191040039062	11.72437858581543	13.343101501464844	14.321413040161133	0.9058823529411765	0.1607843137254902	0.5411764705882353	1.0
3	ECHAM6-GCM	0.14148755371570587	0.17937733232975006	0.17938226461410522	205.96937561035156	207.6791534423828	207.3282470703125	11.519235610961914	12.747236251831055	15.306648254394531	0.8392156862745098	0.15294117647058825	0.1568627450980392	1.0
4	GEOS-GCM	0.2734719216823578	0.2314104288816452	0.14732789993286133	218.43907165527344	219.452880859375	209.79495239257812	10.032038688659668	11.4319429397583	15.106400489807129	0.984313725490196	0.5019607843137255	0.4470588235294118	1.0
5	ICON-GCM	0.21842439472675323	0.15688329935073853	0.26404109597206116	206.4932403564453	213.50416564941406	205.60348510742188	10.735112708672796	11.492020580269017	14.846896350450113	0.5490196078431373	0.33725490196078434	0.29411764705882354	1.0
6	IPSL-CM6	0.08137980103492737	0.07988279312849045	0.07402215898036957	221.40008544921875	224.875	225.19618225097656	9.724681854248047	11.21446704864502	13.09373664855957	0.0	0.0	0.0	1.0
7	SAM0-UNICON	0.2897408604621887	0.1790832281112671	0.15954774618148804	210.5600128173828	205.29293823242188	208.73931884765625	10.859953880310059	13.309060096740723	14.815138816833496	0.5490196078431373	0.6352941176470588	0.3215686274509804	1.0
8	SP-CAM	0.16897718608379364	0.16581837832927704	0.1565825492143631	219.71383666992188	220.11334228515625	222.96656799316406	9.97561264038086	11.34323501586914	12.81088638305664	0.09019607843137255	0.7450980392156863	0.8117647058823529	1.0
9	SPX-CAM	0.19209551811218262	0.1785174310207367	0.16374896466732025	221.49485778808594	215.61817932128906	219.36129760742188	10.031517028808594	12.525384902954102	14.023085594177246	0.6196078431372549	0.8549019607843137	0.8980392156862745	1.0
10	UKMO-GA7.1	0.2784407436847687	0.21404479444026947	0.15714475512504578	200.41995239257812	205.3557586669922	216.1433868408203	12.610739707946777	13.798680305480957	14.413180351257324	0.4823529411764706	0.2549019607843137	0.45098039215686275	1.0
11	WRF-GCM-cps0	0.43206730484962463	0.3766230046749115	0.3191836178302765	206.30198669433594	210.1361083984375	215.0172882080078	12.14493465423584	13.45870304107666	14.99955940246582	0.4196078431372549	0.43137254901960786	0.8117647058823529	1.0
12	WRF-GCM-cps1	0.5482733249664307	0.5693820714950562	0.5504093170166016	206.4220428466797	209.44302368164062	209.57110595703125	12.148744583129883	13.438408851623535	16.276859283447266	0.611764705882353	0.6196078431372549	0.8705882352941177	1.0
13	WRF-GCM-cps2	0.3678390681743622	0.3487468659877777	0.3470795452594757	210.01531982421875	215.06874084472656	212.95892333984375	11.339593887329102	12.546292304992676	14.912016868591309	0.4588235294117647	0.4196078431372549	0.6941176470588235	1.0
14	WRF-GCM-cps3	0.41973525285720825	0.37900447845458984	0.3812658190727234	207.1126251220703	210.45948791503906	215.0035858154297	12.16565990447998	13.455309867858887	14.975333213806152	0.6196078431372549	0.6039215686274509	0.7843137254901961	1.0
15	WRF-GCM-cps4	0.39434927701950073	0.4122515916824341	0.42713791131973267	209.91531372070312	207.5998992919922	213.38230895996094	11.322251319885254	13.317691802978516	14.895833015441895	0.7372549019607844	0.7411764705882353	0.8627450980392157	1.0
16	WRF-GCM-cps6	0.47137054800987244	0.3935232162475586	0.2996874451637268	204.83120727539062	211.47976684570312	211.35789489746094	12.052138328552246	13.509885787963867	16.338773727416992	0.8549019607843137	0.8549019607843137	0.9215686274509803	1.0
