,Model,Zavg,Zrng,Zdif,Tavg,Trng,Tdif,Color
0,CM1,1.067104762719434,0.7793886076038586,0.7793886076038586,0.736855415390936,0.1809105271276298,-0.04743132077042387,[0.19215686 0.50980392 0.74117647 1.        ]
1,DAM,0.5928681221681875,0.4630869805842194,0.4630869805842194,0.4794845163062328,0.06580690099352299,-0.008732862871452161,[0.4        0.76078431 0.64705882 1.        ]
2,ICON-LEM-CRM,0.21468137289963504,0.2777456343529846,0.2755229006422207,0.14297632951802275,0.07134443981188289,0.04363363367672253,[0.74117647 0.61960784 0.22352941 1.        ]
3,ICON-NWP-CRM,0.1916352479183662,0.2514025114370298,0.24739898585579026,0.1433993875177069,0.10341493452306667,0.09324220055101333,[0.54901961 0.42745098 0.19215686 1.        ]
4,MESONH,0.4527275841332314,0.4215203113263041,0.4181186557484928,0.370015231205762,0.2241159017279791,0.183951233467654,[0.90196078 0.33333333 0.05098039 1.        ]
5,NICAM,0.09707154786544854,0.04445479194003256,0.04445479194003256,0.09585606815419727,0.024263924333006545,0.024263924333006545,[1.  1.  0.2 1. ]
6,SAM-CRM,0.6042797482073695,0.6921885147701673,0.6921885147701673,0.3935953442375836,0.12594966816435016,0.12594966816435016,[0.67843137 0.28627451 0.29019608 1.        ]
7,SAM-GCRM,0.4786886811490103,0.6187693688774274,0.6187693688774274,0.4550100030343389,0.3653703575620876,0.3643570934717879,[0.51764706 0.23529412 0.22352941 1.        ]
8,SCALE,1.3333351390584596,2.4176137236581696,2.4176137236581696,1.3920785483426716,0.2447412953558671,0.20289414524583008,[0.10588235 0.61960784 0.46666667 1.        ]
9,UKMO-CASIM,0.18641279364372693,0.17638205620745945,0.17638205620745945,0.18174945626790096,0.09156670993286868,0.07750695686906657,[0.64705882 0.31764706 0.58039216 1.        ]
10,UKMO-RA1-T,0.20092698894096506,0.14264728039914915,0.14264728039914915,0.16810092065345267,0.046437836150610236,0.046437836150610236,[0.80784314 0.42745098 0.74117647 1.        ]
11,UKMO-RA1-T-nocloud,0.1436320750968559,0.014326844667916994,-0.003568611236602144,0.13713325249330455,0.06716358547023964,0.06716358547023964,[0.89019608 0.46666667 0.76078431 1.        ]
12,WRF-COL-CRM,0.5184381964522785,0.5591574067733499,0.5591574067733499,0.3678057301050148,0.1173986333218162,0.07565047810499481,[0.22352941 0.23137255 0.4745098  1.        ]
