	Model	Zavg	Zrng	Zdif	Tavg	Trng	Tdif	Color
0	CM1	-46.79818616875221	35.013225346938626	-35.013225346938626	-34.410549191129746	2.4406689411195193	-2.408999474088885	[0.19215686 0.50980392 0.74117647 1.        ]
1	DAM	-22.770011185879216	20.306917169843437	-20.306917169843437	-17.73087768113307	1.2629471471465412	-1.2101294163804122	[0.4        0.76078431 0.64705882 1.        ]
2	ICON-LEM-CRM	-17.21591450419851	16.31446701228316	-16.31446701228316	-13.511331222369064	1.2745109131357604	-1.1981084360616132	[0.74117647 0.61960784 0.22352941 1.        ]
3	ICON-NWP-CRM	-16.16639430363598	14.052579932778803	-14.002548214836793	-13.639762109572859	2.198263166788886	-0.33257381417864207	[0.54901961 0.42745098 0.19215686 1.        ]
4	MESONH	-27.4191242696666	21.968463369960133	-21.968463369960133	-25.04310320009162	2.57415503706668	-2.3104554525094456	[0.90196078 0.33333333 0.05098039 1.        ]
5	NICAM	-22.235194818875723	23.864115695436805	-23.864115695436805	-21.608282755620543	3.2955019371146985	1.0258790944128284	[1.  1.  0.2 1. ]
6	SAM-CRM	-32.28038508414373	25.2036680062196	-25.2036680062196	-22.838083926997946	1.4752344837004443	1.1252654964000766	[0.67843137 0.28627451 0.29019608 1.        ]
7	SAM-GCRM	-27.901719026705692	27.272688963335508	-27.272688963335508	-31.393849931783663	4.531528660051813	-3.960492371754965	[0.51764706 0.23529412 0.22352941 1.        ]
8	SCALE	-27.21103301437108	29.824976701267037	-29.824976701267037	-28.734668708053306	1.5949328551234867	-0.6932675391161892	[0.10588235 0.61960784 0.46666667 1.        ]
9	UKMO-CASIM	-10.30875554492207	14.445059317933792	-14.445059317933792	-12.518544718446746	0.9957688593856394	0.17850924313046285	[0.64705882 0.31764706 0.58039216 1.        ]
10	UKMO-RA1-T	-25.314683336033504	25.682756122148504	-25.682756122148504	-13.516824352212703	2.072668274049378	2.072668274049378	[0.80784314 0.42745098 0.74117647 1.        ]
11	UKMO-RA1-T-nocloud	-25.20090854041664	24.540530008636534	-24.540530008636534	-26.927511603398838	3.9483237021906765	3.164251418156811	[0.89019608 0.46666667 0.76078431 1.        ]
12	WRF-COL-CRM	-41.86428757314246	31.766754220564515	-31.766754220564515	-34.799636096419015	5.6972425961153945	-5.606240916196224	[0.22352941 0.23137255 0.4745098  1.        ]
